#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
7 #_spawning month
2 #_Nsexes
15 #_Nages
2 ##_N_areas
36 #12 #_Nfleet #31 ##_Nsurveys
# Fleets
#type	timing	area	units	multiplier	name	num
1 -1 1 1 0 North_Comm_1 #1
1 -1 2 1 0 South_Comm_1 #2
1 -1 1 1 0 North_Comm_2 #3
1 -1 2 1 0 South_Comm_2 #4
1 -1 1 2 0 North_Rec_1 #5
1 -1 2 2 0 South_Rec_1 #6
1 -1 1 2 0 North_Rec_2 #7
1 -1 2 2 0 South_Rec_2 #8
3 1 1 1 0 MA_Spring_Trawl #9
3 1 1 1 0 MA_Fall_Trawl #10
3 1 1 1 0 RI_Spring_Trawl #11
3 1 1 1 0 RI_Fall_Trawl #12
3 1 1 1 0 CT_Spring_Trawl #13
3 1 1 1 0 CT_Fall_Trawl #14
3 1 1 1 0 NY_Age1_StdIndex_1 #15
3 1 2 1 0 NJ_Trawl #16
3 1 2 1 0 DE_CPT_Age1_GeoMean_1 #17
3 1 2 1 0 MD_Age1_LOGMEAN_1 #18
3 1 2 1 0 VIMS_Age1_GeoMean_1 #19
3 1 1 1 0 North_NEAMAP_1 #20
3 1 2 1 0 South_NEAMAP_1 #21
3 1 1 1 0 North_NEAMAP_2 #22
3 1 2 1 0 South_NEAMAP_2 #23
3 1 1 1 0 Albatross_Spring_North #24
3 1 2 1 0 Albatross_Spring_South #25
3 1 1 1 0 Bigelow_Nrth_Spr #26
3 1 2 1 0 Bigelow_Sth_Spr #27
3 1 1 1 0 North_Winter_BTS #28
3 1 2 1 0 South_Winter_BTS #29
3 1 1 1 0 GSWI #30
3 1 1 1 0 VAST_N_Spr #31
3 1 2 1 0 VAST_S_Spr #32
3 1 1 1 0 VAST_N_Fall #33
3 1 2 1 0 VAST_S_Fall #34
3 1 1 1 0 RecCPUE_North_Spr #35
3 1 2 1 0 RecCPUE_South_Spr #36


# CATCH
# year season fleet catch se
-999	1	1	182	0.05	#_North_Comm_1
-999	1	2	428	0.05	#_South_Comm_1
-999	2	3	204	0.05	#_North_Comm_2
-999	2	4	521	0.05	#_South_Comm_2
-999	1	5	95	0.05	#_North_Rec_1
-999	1	6	583	0.05	#_South_Rec_1
-999	2	7	359	0.05	#_North_Rec_2
-999	2	8	2684	0.05	#_South_Rec_2
###
###############################################
##  Catch Data
###############################################
#_North_Comm_1
1989 1 1 177 0.01
1990 1 1 281 0.01
1991 1 1 176 0.01
1992 1 1 165 0.01
1993 1 1 108 0.01
1994 1 1 103 0.01
1995 1 1 106 0.01
1996 1 1 169 0.01
1997 1 1 180 0.01
1998 1 1 118 0.01
1999 1 1 303 0.01
2000 1 1 244 0.01
2001 1 1 341 0.01
2002 1 1 461 0.01
2003 1 1 272 0.01
2004 1 1 318 0.01
2005 1 1 255 0.01
2006 1 1 315 0.01
2007 1 1 299 0.01
2008 1 1 222 0.01
2009 1 1 154 0.01
2010 1 1 274 0.01
2011 1 1 209 0.01
2012 1 1 336 0.01
2013 1 1 246 0.01
2014 1 1 315 0.01
2015 1 1 324 0.01
2016 1 1 429 0.01
2017 1 1 605 0.01
2018 1 1 633 0.01
2019 1 1 537 0.01
2020 1 1 683 0.01
2021 1 1 731 0.01
#_South_Comm_1
1989 1 2 570 0.01
1990 1 2 674 0.01
1991 1 2 438 0.01
1992 1 2 531 0.01
1993 1 2 802 0.01
1994 1 2 474 0.01
1995 1 2 361 0.01
1996 1 2 760 0.01
1997 1 2 493 0.01
1998 1 2 577 0.01
1999 1 2 462 0.01
2000 1 2 569 0.01
2001 1 2 562 0.01
2002 1 2 609 0.01
2003 1 2 570 0.01
2004 1 2 543 0.01
2005 1 2 526 0.01
2006 1 2 387 0.01
2007 1 2 246 0.01
2008 1 2 307 0.01
