,Year,Index,Index_SD,1,2,3,4,5,6,7,8
1,1989,7.920187157,4.182747203,0.171042186,0.606719744,0.207452341,0.012146247,0.000955265,0.001448155,0.000101357,0.000134705
2,1990,11.09924334,5.823031973,0.184739458,0.567839256,0.225117733,0.004015859,0.017869735,0.000112486,0.000245959,5.95E-05
3,1991,9.885064813,5.164462824,0.118957815,0.7702046,0.077936851,0.027631092,0.00512111,7.96E-05,3.15E-05,3.75E-05
4,1992,6.692078183,3.561118644,0.235150763,0.619633779,0.133375203,0.010935186,0.000627433,0.000128392,5.84E-05,9.09E-05
5,1993,4.664337796,2.412835338,0.216445086,0.633612065,0.139886003,0.009271693,0.000480199,0.000195585,5.60E-05,5.33E-05
6,1994,5.786868716,2.983253561,0.281352222,0.348152228,0.325832288,0.036364561,0.007895299,0.000204405,8.79E-05,0.000111096
7,1995,12.09552387,6.299451918,0.21520058,0.715851183,0.058894671,0.008629398,0.001178402,0.000122446,5.59E-05,6.75E-05
8,1996,5.903773167,3.048792188,0.11859623,0.584099965,0.289113639,0.00613659,0.001808412,0.000128082,4.95E-05,6.76E-05
9,1997,13.30695688,6.967216204,0.613037467,0.331226242,0.050049463,0.005246113,0.000301334,6.53E-05,3.46E-05,3.95E-05
10,1998,4.468870807,2.339780904,0.584172601,0.340798673,0.068438529,0.004540446,0.000482734,0.000938557,6.01E-05,0.000568375
11,1999,9.406554528,4.930782685,0.361528544,0.554132442,0.068470349,0.014168792,0.001360084,0.000232517,4.47E-05,6.26E-05
12,2000,11.79411339,6.236322928,0.148009324,0.574664077,0.215480866,0.060443347,0.001252093,9.42E-05,2.59E-05,3.02E-05
13,2001,5.652784686,3.013411975,0.110897711,0.665255263,0.215616469,0.005888092,0.001068921,0.001091288,4.14E-05,0.000140893
14,2002,21.55869196,11.34817757,0.285796484,0.552977896,0.139175343,0.021804157,0.000137232,7.40E-05,1.44E-05,2.04E-05
15,2003,11.2580166,5.951566381,0.174789058,0.613541107,0.123572482,0.079688326,0.008208862,8.36E-05,6.21E-05,5.44E-05
16,2004,4.622668097,2.396665777,0.209457731,0.461052222,0.293123716,0.022879082,0.010595308,0.002759139,5.60E-05,7.68E-05
17,2005,1.995629682,1.041415696,0.225353167,0.477974099,0.149272125,0.131619676,0.012131783,0.003289728,0.000104522,0.000254901
18,2006,4.220311313,2.161162386,0.446470487,0.448563849,0.034196727,0.037352035,0.033050308,0.000128855,0.00016833,6.94E-05
19,2007,7.362411271,3.894103844,0.341059561,0.616110188,0.030375438,0.010126321,0.001170202,0.000906482,0.000196884,5.49E-05
20,2008,8.569945161,4.495434738,0.334128035,0.459785488,0.18448819,0.020270781,0.000437686,0.000125267,0.00069772,6.68E-05
21,2009,11.37200804,5.882807062,0.176626847,0.699023772,0.106120664,0.017576893,0.000537229,5.38E-05,3.04E-05,3.04E-05
22,2010,5.475346096,2.817595769,0.320162207,0.470509888,0.189662347,0.01688098,0.002197147,0.000134886,5.96E-05,0.000392951
23,2011,6.357313289,3.265392808,0.183473103,0.632620203,0.121531771,0.056238643,0.00518976,0.000805659,3.99E-05,0.000100942
24,2012,22.40103805,11.57561347,0.456727037,0.504607225,0.035963045,0.001780804,0.000688639,0.000130812,8.59E-05,1.65E-05
25,2013,4.720424217,2.430850678,0.181851499,0.713448719,0.09122711,0.009845752,0.002964039,0.000461822,4.03E-05,0.000160763
26,2014,5.408389662,2.768054369,0.306121477,0.600371166,0.084101421,0.007190303,0.001457927,0.00056904,0.000154332,3.43E-05
27,2015,12.19519708,6.322222725,0.261144693,0.64506654,0.066433864,0.025568615,0.001541961,0.000107668,3.70E-05,9.97E-05
28,2016,14.15267705,7.382781983,0.642747623,0.326668043,0.019785398,0.003915636,0.006678442,8.35E-05,3.21E-05,8.93E-05
29,2017,11.62952486,5.983641513,0.180831776,0.787134762,0.028497146,0.001551071,0.000194028,0.001735188,2.51E-05,3.09E-05
30,2018,10.63819841,5.536400346,0.173905512,0.637664155,0.174376096,0.010404709,0.000275345,6.40E-05,0.003273745,3.65E-05
31,2019,12.98379167,6.748541583,0.58255519,0.287463674,0.080469088,0.047694466,0.000902786,4.13E-05,1.94E-05,0.000854101
32,2020,9.961370559,5.152414627,0.400061746,0.549456415,0.015870315,0.025818383,0.007776887,0.000188172,0.000141103,0.000686979
33,2021,33.44536677,17.43334823,0.31600151,0.62774407,0.054112131,0.000371539,0.001068791,0.000612667,1.31E-05,7.62E-05
