,Year,Index,Index_SD,1,2,3,4,5,6,7,8
1,1989,50.12254573,20.70583909,0.027628716,0.406975019,0.208427623,0.254931341,0.016089095,0.054951143,0.003551808,0.027445255
2,1990,19.41286468,8.833957439,0.048202703,0.105537183,0.565642315,0.066274055,0.188595867,0.00833713,0.012784873,0.004625874
3,1991,17.89677125,7.130217195,0.327802362,0.189094163,0.175295106,0.188982186,0.070676951,0.022149454,0.012053715,0.013946063
4,1992,16.16737692,5.692837989,0.120146394,0.273792511,0.451420513,0.080180796,0.054029155,0.009175926,0.004782908,0.006471798
5,1993,8.952165848,3.337092372,0.038879606,0.332972334,0.415137775,0.143441164,0.01919871,0.035929974,0.006535444,0.007904991
6,1994,21.80420486,7.610830595,0.101448542,0.071989266,0.504458035,0.164780169,0.132706387,0.011584213,0.004113693,0.008919694
7,1995,27.45994323,7.145557343,0.25122497,0.312571316,0.335099877,0.046303413,0.039529822,0.006473136,0.003755992,0.005041474
8,1996,54.47248384,16.4291325,0.265878519,0.475443507,0.210369408,0.029692814,0.004495633,0.009331409,0.001528681,0.003260029
9,1997,42.0788974,11.29511302,0.117736409,0.431481988,0.378085983,0.048808278,0.009127436,0.006122384,0.003415096,0.005222427
10,1998,13.50462869,4.276612917,0.192598685,0.336037942,0.224384822,0.166126127,0.037477497,0.026330987,0.005608274,0.011435665
11,1999,43.66592847,10.45358405,0.202891875,0.224415467,0.368630394,0.158031548,0.012145713,0.02414486,0.003847753,0.005892391
12,2000,169.0259798,34.89913035,0.280996364,0.409259271,0.159660249,0.129780068,0.012078997,0.005543063,0.000926095,0.001755892
13,2001,95.0056809,20.83151715,0.143762553,0.288703129,0.482016533,0.03581936,0.026816416,0.008920061,0.009560994,0.004400955
14,2002,145.1919459,24.4331637,0.236612019,0.106316536,0.339871454,0.308144459,0.003592138,0.003011211,0.001278966,0.001173218
15,2003,82.85846183,19.80881793,0.164152928,0.286750244,0.135295344,0.293105605,0.11548618,0.001890805,0.002244516,0.001074378
16,2004,52.10609879,10.46251848,0.122451937,0.067326496,0.462430845,0.083819087,0.214347947,0.04632591,0.001464847,0.001832931
17,2005,34.00899751,10.35327544,0.236770171,0.050239463,0.0747246,0.368597674,0.13700485,0.109822816,0.017545646,0.00529478
18,2006,75.02847149,16.30114302,0.317852622,0.397140063,0.094957875,0.057055116,0.089299817,0.01408213,0.02451575,0.005096626
19,2007,98.77221754,18.31458419,0.143121595,0.486788599,0.159978928,0.072828913,0.038909229,0.06125265,0.031408529,0.005711558
20,2008,121.618089,30.21073453,0.16924271,0.166365323,0.540068735,0.066324722,0.008288793,0.002855003,0.040868894,0.00598582
21,2009,203.2648559,41.66726322,0.228215705,0.307014889,0.230265524,0.214047427,0.007503321,0.001717948,0.000903028,0.010332158
22,2010,137.4733162,26.99933394,0.07703643,0.254439881,0.505395966,0.120119916,0.035277356,0.004278689,0.00076988,0.002681883
23,2011,120.9103806,24.30706255,0.145958818,0.231290468,0.227557218,0.325646754,0.053137861,0.014018052,0.001079419,0.00131141
24,2012,510.1094592,92.85492444,0.347448732,0.211847298,0.226598675,0.122745131,0.072458228,0.011634083,0.006107108,0.001160745
25,2013,368.2787757,65.39499692,0.089446313,0.609057981,0.125408451,0.125190079,0.039072393,0.008659916,0.000378924,0.002785943
26,2014,724.3663127,132.3492467,0.024803507,0.100006516,0.761781159,0.079646195,0.01752788,0.011083743,0.004230162,0.000920838
27,2015,296.6472087,61.62532129,0.021729231,0.065131301,0.159261046,0.707130226,0.041400097,0.00451164,0.000217437,0.000619023
28,2016,617.9933134,92.44428801,0.032941759,0.167038533,0.10350979,0.167329524,0.517044546,0.004651736,0.002344661,0.005139451
29,2017,585.2991054,108.9360008,0.03209213,0.300681818,0.114296582,0.116031641,0.000569188,0.42661935,0.0001913,0.009517991
30,2018,239.5853748,42.40485584,0.01013697,0.175363183,0.584909137,0.106586859,0.001033125,0.00063573,0.120973716,0.000361279
31,2019,392.2597294,80.78097323,0.138043809,0.116611845,0.193444413,0.432638679,0.040209593,0.000768991,0.00038433,0.07789834
32,2020,372.8549436,103.5587985,0.176481654,0.455286601,0.02277883,0.067654407,0.229560893,0.001299792,0.000635362,0.046302461
33,2021,624.2946608,117.1715904,0.028832792,0.342796966,0.3939653,0.00111688,0.074220344,0.13476236,0.00025746,0.024047898
