,Year,Index,Index_SD,1,2,3,4,5,6,7,8
1,1989,509.616676,124.9486143,0.146373863,0.684427309,0.127963883,0.028417664,0.001058058,0.006808373,0.000199756,0.004751094
2,1990,525.866936,133.5620998,0.418571311,0.201650976,0.32640213,0.012088429,0.040310309,0.000453944,0.000296214,0.000226687
3,1991,248.4273812,56.92775141,0.451990838,0.429570842,0.053113278,0.060576821,0.002776271,0.001070844,0.000391458,0.000509648
4,1992,639.004226,122.2506852,0.160699761,0.493045582,0.297725863,0.033810017,0.013645873,0.000546729,0.000209431,0.000316745
5,1993,583.4031042,99.44823669,0.089307257,0.686830542,0.177174966,0.044877141,0.000506915,0.000993047,0.000112102,0.000198031
6,1994,294.7575884,80.06963237,0.200473665,0.160310133,0.55301339,0.050638323,0.029283483,0.003561519,0.000284435,0.002435052
7,1995,393.4487156,84.79361141,0.359212147,0.426522679,0.165445321,0.036214872,0.010597133,0.000968542,0.000435052,0.000604255
8,1996,548.2975753,105.3552135,0.169343358,0.500425478,0.291687921,0.032673129,0.000741314,0.002599799,0.000218173,0.002310827
9,1997,252.370018,49.76804109,0.218901374,0.618418271,0.139382856,0.01919459,0.001708042,0.001213818,0.000522665,0.000658383
10,1998,332.4192824,59.52700946,0.085458246,0.58881637,0.257737322,0.057534846,0.002149698,0.007212669,0.000174476,0.000916372
11,1999,289.7239332,63.19933661,0.530656637,0.204599776,0.211668495,0.041721884,0.003913643,0.006041874,0.000661668,0.000736024
12,2000,642.1229124,121.9709734,0.547513356,0.315719404,0.092058267,0.039892057,0.002579731,0.000935905,0.000271911,0.001029368
13,2001,977.364765,187.9514371,0.161997747,0.611873916,0.208250453,0.008966945,0.003366298,0.002178703,0.002685391,0.000680546
14,2002,1122.267438,192.0018427,0.311960887,0.248613835,0.347745184,0.090085605,0.000554556,0.000401199,0.000443917,0.000194817
15,2003,1239.572038,218.2448297,0.130358849,0.517916886,0.205219066,0.121920846,0.023390333,0.000122662,0.000987605,8.38E-05
16,2004,548.1225112,94.69533087,0.056434854,0.296755428,0.435011665,0.061880742,0.128489972,0.021131203,0.00010785,0.000188286
17,2005,506.4934554,81.96209537,0.171784901,0.376203861,0.164257807,0.237466198,0.020673467,0.023837587,0.004334004,0.001442176
18,2006,247.2449573,48.91837177,0.246942752,0.389020441,0.127771888,0.121507999,0.094841496,0.010553541,0.00757579,0.001786093
19,2007,257.2827083,46.74684368,0.469566634,0.28935556,0.12653363,0.058464686,0.020460501,0.021337691,0.013201178,0.001080119
20,2008,278.0890498,78.76365319,0.563075142,0.315638545,0.097633478,0.018820784,0.002299733,0.000827193,0.001040798,0.000664328
21,2009,382.7053657,84.75493667,0.166275172,0.691007815,0.121696719,0.019606281,0.000733926,0.000256505,9.95E-05,0.000324054
22,2010,620.9037943,133.7491196,0.263343047,0.250535848,0.390520124,0.07171823,0.022604377,0.00102016,7.62E-05,0.000181972
23,2011,326.6062883,74.82302383,0.179079201,0.513127295,0.230729886,0.066658213,0.005538055,0.004489017,0.000163422,0.000214912
24,2012,320.3350813,71.63996187,0.435066063,0.289024801,0.211372755,0.034196242,0.022001275,0.005510982,0.001945256,0.000882628
25,2013,901.2643262,170.6045879,0.129035826,0.686838334,0.129935459,0.039722015,0.011631982,0.002206901,7.99E-05,0.000549553
26,2014,323.3917458,76.32498591,0.102804083,0.41776154,0.431627409,0.035878894,0.005826457,0.004211867,0.001446893,0.000442857
27,2015,279.7983231,62.80255617,0.33199282,0.335185144,0.151089516,0.150168477,0.027078756,0.003358315,0.0002028,0.000924172
28,2016,203.2860239,49.96042432,0.528528125,0.301184552,0.084629403,0.03321667,0.042381417,0.003227151,0.001956737,0.004875945
29,2017,552.9698591,123.402511,0.181707843,0.585722646,0.132635693,0.040763716,0.000543586,0.05653343,0.000110455,0.001982632
30,2018,815.6701726,175.4750019,0.042161561,0.603392044,0.33833677,0.011940429,0.000496236,0.000273448,0.003271283,0.000128229
31,2019,367.356049,93.01991568,0.229456698,0.287278223,0.338935031,0.122843106,0.005763621,0.000896152,0.000311998,0.01451517
32,2020,878.5712451,185.153655,0.1392812,0.59675005,0.041962916,0.122063191,0.097691885,0.00058372,0.000202452,0.001464587
33,2021,636.973184,153.1494924,0.17556979,0.464282129,0.304033285,0.002925487,0.032663593,0.018627566,0.000216579,0.001681571
